Title,Description,Preconditions,Expected result
Kiểm tra hiển thị danh sách công việc,Kiểm tra hiển thị danh sách công việc trong biểu đồ Gantt,Đăng nhập và truy cập vào một dự án có ít nhất một công việc,"Danh sách công việc hiển thị đúng trong biểu đồ Gantt, bao gồm tên công việc, ngày bắt đầu, ngày kết thúc và tiến độ"
Kiểm tra hiển thị khi không có công việc,Kiểm tra thông báo hiển thị khi dự án không có công việc nào,Đăng nhập và truy cập vào một dự án không có công việc nào,"Hiển thị thông báo ""タスクがありません。"" (Không có công việc nào)"
,,,

Kiểm tra quyền thêm công việc với vai trò USER,Kiểm tra hiển thị nút thêm công việc khi đăng nhập với vai trò USER không có quyền ADMIN trong dự án,Đăng nhập với vai trò USER và truy cập vào một dự án mà người dùng tham gia với vai trò USER,Nút thêm công việc không được hiển thị trên giao diện
Kiểm tra quyền thêm công việc với vai trò USER ADMIN,Kiểm tra hiển thị nút thêm công việc khi đăng nhập với vai trò USER có quyền ADMIN trong dự án,Đăng nhập với vai trò USER và truy cập vào một dự án mà người dùng tham gia với vai trò ADMIN,Nút thêm công việc được hiển thị trên giao diện
Kiểm tra quyền thêm công việc với vai trò ADMIN/MANAGER,Kiểm tra hiển thị nút thêm công việc khi đăng nhập với vai trò ADMIN/MANAGER,Đăng nhập với vai trò ADMIN/MANAGER và truy cập vào bất kỳ dự án nào,Nút thêm công việc được hiển thị trên giao diện
,,,

Kiểm tra quyền xóa công việc với vai trò USER,Kiểm tra hiển thị nút xóa công việc khi đăng nhập với vai trò USER không có quyền ADMIN trong dự án,Đăng nhập với vai trò USER và truy cập vào một dự án mà người dùng tham gia với vai trò USER,Nút xóa công việc không được hiển thị trên giao diện
Kiểm tra quyền xóa công việc với vai trò USER ADMIN,Kiểm tra hiển thị nút xóa công việc khi đăng nhập với vai trò USER có quyền ADMIN trong dự án,Đăng nhập với vai trò USER và truy cập vào một dự án mà người dùng tham gia với vai trò ADMIN,Nút xóa công việc được hiển thị trên giao diện
Kiểm tra quyền xóa công việc với vai trò ADMIN/MANAGER,Kiểm tra hiển thị nút xóa công việc khi đăng nhập với vai trò ADMIN/MANAGER,Đăng nhập với vai trò ADMIN/MANAGER và truy cập vào bất kỳ dự án nào,Nút xóa công việc được hiển thị trên giao diện
,,,

